Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Jeffrey Morales,AI Engineer,"Machine Learning, Deep Learning, Python, AI Systems, TensorFlow, NLP",14,Master's,AWS Certified,Lake Michael
Jose Williams,ML Engineer,"Python, PyTorch, Scikit-learn, TensorFlow, Keras",4,Bachelor's,Google Data Engineer,Cobbview
Michelle Hall,Data Engineer,"Spark, ETL, SQL, AWS",2,Master's,None,West Jamesland
Jerry Montoya,ML Engineer,"NLP, PyTorch, TensorFlow, Python, Keras, Scikit-learn",14,PhD,Microsoft Azure,East Emilyberg
Peter Cook,Data Analyst,"Data Visualization, Python, Excel, Tableau",4,Master's,Google Data Engineer,Kevinville
Joshua Taylor,Data Analyst,"SQL, Excel, Python",2,Bachelor's,Microsoft Azure,New Heather
Dr. Melinda Thomas,Data Analyst,"Power BI, Excel, Data Visualization, Python, SQL, Tableau",3,Bachelor's,Google Data Engineer,Ochoashire
David Pugh,AI Engineer,"Machine Learning, Python, TensorFlow, AI Systems, NLP, Deep Learning",3,Master's,None,West Kaylatown
Tiffany Foster,Data Scientist,"Machine Learning, Pandas, TensorFlow, Deep Learning, R",12,PhD,Microsoft Azure,Ashleytown
Ronald Lopez,Data Analyst,"Tableau, Data Visualization, Excel",10,PhD,Google Data Engineer,Lake Jordan
Jennifer Porter,ML Engineer,"Scikit-learn, PyTorch, Python, TensorFlow, Keras, NLP",3,Master's,None,Santiagochester
Danielle Reilly,Data Engineer,"SQL, Hadoop, Python, ETL",4,Bachelor's,Google Data Engineer,Johnsonfort
Gregory Rhodes,Data Engineer,"Spark, SQL, Python, Hadoop",14,Bachelor's,None,Port Tyler
Jesse Stanley,Data Analyst,"Power BI, Python, SQL, Excel, Data Visualization, Tableau",14,Bachelor's,Microsoft Azure,East Sarah
Jessica Carlson,AI Engineer,"NLP, Machine Learning, TensorFlow, Python, Deep Learning, AI Systems",1,Bachelor's,None,Lake Michael
Carl Edwards,ML Engineer,"Scikit-learn, TensorFlow, PyTorch, Python",6,Bachelor's,Google Data Engineer,Nicholasshire
Thomas Carroll,Data Scientist,"Machine Learning, R, Deep Learning, Pandas, Python",15,PhD,Microsoft Azure,Lake Suzannefurt
David Gilbert,ML Engineer,"NLP, PyTorch, Python",6,Bachelor's,Microsoft Azure,West Teresa
Stephen Rogers,ML Engineer,"Scikit-learn, Python, Keras, NLP, PyTorch, TensorFlow",14,Master's,Microsoft Azure,West Ashley
Aaron Harris,Data Engineer,"AWS, Kafka, ETL, Spark, SQL",2,PhD,Google Data Engineer,Robinsonville
Leah Smith,Data Engineer,"Python, Spark, Hadoop, ETL",11,Master's,Google Data Engineer,Riggsbury
Joshua Phillips,Data Engineer,"Kafka, Spark, SQL",8,PhD,AWS Certified,Robinberg
Deanna Brown,ML Engineer,"Python, NLP, TensorFlow, Keras, Scikit-learn",12,PhD,None,Andersonmouth
Jimmy Hamilton,AI Engineer,"Python, Deep Learning, TensorFlow",10,PhD,AWS Certified,Lake Deborah
Ryan Bennett,Data Analyst,"Excel, Power BI, Python, Tableau",10,Master's,Microsoft Azure,North Deborah
Erika Armstrong,AI Engineer,"Deep Learning, TensorFlow, NLP, Machine Learning, AI Systems",4,PhD,AWS Certified,North Natasha
Christopher Campbell,ML Engineer,"Python, PyTorch, NLP, Scikit-learn, TensorFlow, Keras",4,PhD,Microsoft Azure,Melodyborough
Ashlee Rivera,ML Engineer,"Scikit-learn, Python, Keras, PyTorch, TensorFlow",15,PhD,Google Data Engineer,Wendyside
Teresa Stewart,Data Engineer,"Hadoop, ETL, Spark, Kafka, AWS, SQL",9,Master's,None,Hollandview
Jacob Rodriguez,AI Engineer,"TensorFlow, Deep Learning, NLP, Machine Learning, AI Systems",12,Master's,None,North Donna
Jacob Thomas,Data Scientist,"Pandas, Python, Deep Learning, R, Machine Learning, TensorFlow",12,PhD,AWS Certified,Rogersview
Tyler Clark,ML Engineer,"Scikit-learn, Python, Keras, NLP, TensorFlow, PyTorch",7,Master's,Microsoft Azure,Jessicaland
Elizabeth Johnson,AI Engineer,"AI Systems, TensorFlow, Python, NLP, Machine Learning",1,Master's,None,South Samantha
Jamie Howe,Data Engineer,"AWS, Hadoop, Kafka",14,Bachelor's,Microsoft Azure,South Josephhaven
Emma Mooney,AI Engineer,"Python, Deep Learning, NLP, AI Systems, Machine Learning, TensorFlow",8,Master's,AWS Certified,South Isaacborough
Jeffrey Park,AI Engineer,"AI Systems, TensorFlow, Deep Learning",7,PhD,None,North Johnview
Michael Mack,Data Engineer,"Kafka, SQL, AWS, Python",12,PhD,AWS Certified,North Christinashire
Brian Lozano,Data Analyst,"SQL, Tableau, Excel, Data Visualization",14,Bachelor's,None,Edwardshaven
Jennifer Taylor,ML Engineer,"Keras, Scikit-learn, TensorFlow, NLP, Python",9,Master's,AWS Certified,Wilsonborough
Mr. Logan Snyder,AI Engineer,"NLP, TensorFlow, Python, Deep Learning, Machine Learning, AI Systems",14,Master's,Microsoft Azure,Marychester
Richard Castro,Data Scientist,"Deep Learning, Machine Learning, TensorFlow, Python, Pandas",2,Bachelor's,None,Riggsshire
Kevin Zimmerman,ML Engineer,"Keras, Scikit-learn, NLP, Python, PyTorch, TensorFlow",1,Bachelor's,Google Data Engineer,Johnsonton
Shelia Frey,ML Engineer,"NLP, Python, Keras, Scikit-learn",10,PhD,None,North Stephanie
Linda Crane,ML Engineer,"PyTorch, TensorFlow, NLP, Scikit-learn, Python",1,Bachelor's,AWS Certified,Derrickview
Robert Salazar,Data Scientist,"Deep Learning, Python, Machine Learning",9,Bachelor's,Microsoft Azure,Kingstad
Reginald Watts,Data Scientist,"Pandas, TensorFlow, Machine Learning, Deep Learning",10,Master's,Google Data Engineer,Johnsonmouth
Jessica Jackson,Data Engineer,"SQL, AWS, Kafka, Python, Spark, Hadoop",6,PhD,AWS Certified,Jacobsfort
Sean Hernandez,AI Engineer,"Deep Learning, Python, TensorFlow, Machine Learning, NLP",10,Master's,Microsoft Azure,Gonzalezhaven
Hannah Norman,Data Engineer,"Spark, Hadoop, ETL, Kafka, Python",4,Bachelor's,Microsoft Azure,Lindaville
Tom Morgan,AI Engineer,"TensorFlow, Machine Learning, Python, AI Systems, NLP, Deep Learning",5,PhD,Google Data Engineer,West Davidchester
Jessica Henson,Data Engineer,"Hadoop, Spark, ETL",3,PhD,AWS Certified,Birdmouth
Jackie Robertson,Data Engineer,"AWS, ETL, Spark",12,Master's,None,Stevenfurt
Crystal Fischer,ML Engineer,"Keras, Scikit-learn, Python",8,Bachelor's,Microsoft Azure,New Chelsea
Candace Pruitt,Data Scientist,"Pandas, R, Machine Learning, Python, Deep Learning",2,Master's,AWS Certified,Greenchester
Laura Thomas,Data Engineer,"AWS, ETL, SQL, Hadoop, Kafka",8,PhD,AWS Certified,Jasonshire
Lindsay Smith,ML Engineer,"PyTorch, Python, TensorFlow, NLP, Keras",13,Bachelor's,None,Port Jennifer
Darrell Duke,Data Analyst,"SQL, Tableau, Python, Excel, Power BI, Data Visualization",9,Bachelor's,Google Data Engineer,East Melissa
Jennifer Marquez,Data Scientist,"Python, R, TensorFlow, Deep Learning",12,Master's,Microsoft Azure,East Earlborough
Ana Hess,Data Engineer,"Hadoop, AWS, Kafka",6,Master's,Microsoft Azure,Christinechester
Patrick Rice,Data Engineer,"ETL, AWS, SQL, Kafka, Python",2,PhD,Google Data Engineer,Elizabethville
Jose Mejia,AI Engineer,"Python, TensorFlow, Deep Learning, NLP, Machine Learning",7,Bachelor's,Microsoft Azure,Hoganland
Stephanie Young,Data Engineer,"Hadoop, Kafka, Spark, AWS, Python",8,Bachelor's,AWS Certified,Lake Troyhaven
Renee Kemp,Data Analyst,"Data Visualization, Python, SQL",9,PhD,Google Data Engineer,New Sandra
Michele Williams,Data Engineer,"Hadoop, Python, Kafka",8,Bachelor's,None,Corymouth
Martin Charles,ML Engineer,"Scikit-learn, NLP, Keras, PyTorch, TensorFlow, Python",7,PhD,Google Data Engineer,Davidmouth
Jonathon Miller,AI Engineer,"NLP, Python, TensorFlow, Deep Learning",2,Master's,AWS Certified,East Ashleytown
Bradley Lopez,AI Engineer,"Deep Learning, TensorFlow, AI Systems, Python, NLP",8,Master's,Google Data Engineer,New Sheila
Rachel Jackson,Data Analyst,"Power BI, SQL, Data Visualization, Excel, Tableau, Python",14,PhD,None,North Johntown
Michael Smith,AI Engineer,"TensorFlow, NLP, Deep Learning, Python, Machine Learning, AI Systems",1,Master's,Microsoft Azure,Mercerchester
Megan Schroeder,AI Engineer,"Python, TensorFlow, NLP, Machine Learning, Deep Learning, AI Systems",4,Master's,Microsoft Azure,North Paulaburgh
Thomas Hoffman,ML Engineer,"NLP, Keras, Python, TensorFlow",10,Master's,Google Data Engineer,Josephborough
Sheila Rivera,Data Engineer,"Hadoop, SQL, Kafka",5,Master's,None,Lyonsmouth
David Klein,Data Scientist,"Deep Learning, TensorFlow, R, Pandas, Python, Machine Learning",3,Bachelor's,Google Data Engineer,Stevenside
Erica Graham,AI Engineer,"TensorFlow, NLP, Deep Learning, Python",10,Master's,Microsoft Azure,Brightview
Jessica Clarke,Data Scientist,"R, Python, Deep Learning, Pandas, TensorFlow",6,Bachelor's,AWS Certified,Frazierview
Malik Williams,Data Scientist,"Pandas, Python, TensorFlow, Deep Learning",14,Bachelor's,None,North Erinton
Jon Bennett,AI Engineer,"AI Systems, TensorFlow, NLP, Deep Learning, Python",2,Master's,AWS Certified,Glennborough
Ashley Cherry,ML Engineer,"PyTorch, Scikit-learn, NLP, Keras, TensorFlow, Python",15,PhD,Google Data Engineer,Shaunbury
Brian Maldonado,AI Engineer,"Deep Learning, TensorFlow, AI Systems, Machine Learning",5,PhD,AWS Certified,Anthonyside
Samuel Calderon,AI Engineer,"Machine Learning, TensorFlow, NLP",15,Bachelor's,None,South Kevin
Jennifer Evans,Data Scientist,"Deep Learning, TensorFlow, Pandas, Machine Learning",8,Master's,Google Data Engineer,Joshuaton
Robin Blevins,Data Engineer,"Spark, AWS, Kafka, Hadoop",6,Master's,AWS Certified,East Williamfort
Brent Martinez,Data Analyst,"Python, Excel, SQL",3,Master's,Microsoft Azure,West Timothyport
Christopher Marquez,AI Engineer,"AI Systems, Deep Learning, Python, NLP, Machine Learning",7,Master's,AWS Certified,Port Aliciashire
Emily Jackson,Data Scientist,"Python, R, Machine Learning, Deep Learning, Pandas, TensorFlow",15,Bachelor's,Microsoft Azure,Lake Emily
Gloria Martinez,Data Analyst,"SQL, Tableau, Data Visualization, Power BI, Excel",3,Master's,AWS Certified,Moodyshire
Laura White,Data Engineer,"SQL, Kafka, Hadoop, Python, ETL",3,PhD,AWS Certified,New Kimberly
Nicholas Williams,ML Engineer,"Scikit-learn, Keras, TensorFlow",11,Master's,None,Wongview
Lisa Wolf,ML Engineer,"TensorFlow, PyTorch, Keras",4,PhD,None,Wardfort
Andrew Mathews,Data Engineer,"ETL, Python, Kafka",3,Bachelor's,Microsoft Azure,West Ashleyfurt
Kaylee Christensen,Data Engineer,"SQL, Spark, ETL, AWS, Kafka, Hadoop",8,Master's,None,Port Rebecca
Christopher Walker,Data Scientist,"Machine Learning, R, TensorFlow, Python, Deep Learning",1,Master's,Google Data Engineer,Waltersburgh
Amanda Ellison,Data Engineer,"SQL, Hadoop, AWS, ETL",12,PhD,None,Kathyville
Ronald Graves,ML Engineer,"Python, PyTorch, NLP, TensorFlow, Scikit-learn",3,PhD,Microsoft Azure,New Wendy
Regina Smith,Data Engineer,"AWS, SQL, Spark, Hadoop",9,Master's,None,Elizabethberg
Lindsey Perez,ML Engineer,"Python, NLP, Scikit-learn",4,PhD,Google Data Engineer,Douglasbury
Tracy Reeves,ML Engineer,"PyTorch, TensorFlow, Keras, NLP",12,Bachelor's,Microsoft Azure,West Jonathan
Amy Stewart,Data Engineer,"Hadoop, AWS, Kafka",15,PhD,AWS Certified,Lake Ashley
Angela Ellis,Data Engineer,"ETL, AWS, SQL, Hadoop",5,Master's,Microsoft Azure,South Brian
Lisa Wright,AI Engineer,"NLP, TensorFlow, Machine Learning, AI Systems",4,PhD,Google Data Engineer,West Melissahaven
Andrea Waters,AI Engineer,"TensorFlow, Machine Learning, AI Systems",13,PhD,AWS Certified,Ramosbury
Joshua Gonzalez,AI Engineer,"Deep Learning, TensorFlow, Machine Learning, NLP, AI Systems",6,Master's,None,West Alyssa
Alan Taylor,ML Engineer,"PyTorch, TensorFlow, Keras",2,Master's,AWS Certified,Claytonchester
Mary James,Data Analyst,"Python, Tableau, SQL",2,Master's,Microsoft Azure,Devinchester
Daniel Fletcher,AI Engineer,"NLP, Deep Learning, AI Systems",14,Bachelor's,AWS Certified,Lake Emily
James Johnson,Data Analyst,"Data Visualization, SQL, Python, Excel, Tableau",8,Bachelor's,Google Data Engineer,Jeffreyhaven
Jeffrey Coleman,ML Engineer,"TensorFlow, NLP, PyTorch, Python",2,Master's,AWS Certified,Clarencebury
Amy Ewing,AI Engineer,"TensorFlow, Deep Learning, Machine Learning",13,Bachelor's,Google Data Engineer,West Justin
Adam Hayes,ML Engineer,"NLP, PyTorch, TensorFlow, Scikit-learn",5,Bachelor's,None,Davidtown
Amber King,Data Scientist,"Deep Learning, Machine Learning, R, TensorFlow",6,PhD,Google Data Engineer,Greeneburgh
Robert Ryan,ML Engineer,"Python, Keras, PyTorch, NLP, Scikit-learn",11,PhD,AWS Certified,Johnsonhaven
Cindy Wilson,ML Engineer,"Python, Keras, NLP, PyTorch",6,Bachelor's,Microsoft Azure,West Robertberg
Brandon Cook,AI Engineer,"TensorFlow, Machine Learning, AI Systems, Deep Learning, NLP, Python",10,Master's,AWS Certified,North Brittanyfurt
John Thomas,Data Scientist,"Pandas, R, Machine Learning",9,Bachelor's,None,Mcdonaldstad
Michael Case,Data Scientist,"Pandas, Python, Deep Learning",12,PhD,Microsoft Azure,Suttonton
Dr. David Moreno,AI Engineer,"TensorFlow, AI Systems, Python, NLP, Machine Learning",13,PhD,Microsoft Azure,Martinezhaven
Katie Rosales,Data Scientist,"Python, Deep Learning, R, TensorFlow, Machine Learning",2,PhD,None,Kristenview
Angela Bates,Data Analyst,"Data Visualization, Excel, Python",9,PhD,Microsoft Azure,Jackiebury
Richard Friedman,Data Engineer,"Kafka, AWS, ETL, SQL",14,Master's,Microsoft Azure,Lake James
Carol Alvarado,AI Engineer,"Python, Deep Learning, NLP, Machine Learning",12,Master's,Microsoft Azure,Combsborough
Dana Flores,Data Scientist,"Machine Learning, Python, Deep Learning, Pandas, TensorFlow",8,Master's,AWS Certified,Patriciaport
Emily Thomas,Data Analyst,"Data Visualization, Power BI, SQL",15,PhD,Google Data Engineer,Laurenside
Alex Marquez,AI Engineer,"NLP, TensorFlow, Deep Learning, Python, AI Systems",11,Bachelor's,None,North Karen
John Robinson,Data Analyst,"SQL, Power BI, Data Visualization, Tableau",6,Bachelor's,Google Data Engineer,Fryeborough
Kylie Pruitt,AI Engineer,"NLP, TensorFlow, Python",3,Bachelor's,None,South Desireeview
Charles Hale,AI Engineer,"Machine Learning, TensorFlow, NLP, Deep Learning, Python",2,PhD,AWS Certified,West Steven
Terry Rivera,Data Analyst,"Power BI, Excel, Data Visualization, SQL, Tableau",6,PhD,Google Data Engineer,New Audreytown
Mrs. Susan Dougherty DDS,Data Engineer,"Hadoop, Kafka, AWS, ETL, Python, Spark",15,Bachelor's,None,New Nicole
Matthew Ball,ML Engineer,"TensorFlow, NLP, Python, PyTorch",13,Bachelor's,Google Data Engineer,East Rodneyview
Kaitlyn Escobar,Data Scientist,"TensorFlow, Python, Pandas, Deep Learning, R, Machine Learning",15,Master's,None,Lake Michele
Kaitlyn Davis,Data Analyst,"Data Visualization, SQL, Tableau, Excel, Power BI, Python",10,Master's,AWS Certified,South Thomas
Cheryl Evans,Data Analyst,"Tableau, Excel, Data Visualization, Python, SQL",11,Bachelor's,AWS Certified,South Melissa
Wesley Baker,Data Engineer,"AWS, Hadoop, Spark, Kafka, SQL, ETL",6,Bachelor's,Google Data Engineer,South Paula
Shari Bush,ML Engineer,"Keras, TensorFlow, Python, PyTorch, Scikit-learn, NLP",15,Bachelor's,Google Data Engineer,New Tiffanychester
Samuel Riley,Data Engineer,"Hadoop, Spark, AWS, Kafka, SQL, ETL",15,Master's,Microsoft Azure,Phillipsburgh
Jonathan Brown,Data Analyst,"Data Visualization, Tableau, SQL",8,Master's,Microsoft Azure,New Michael
Rachel Smith,ML Engineer,"Scikit-learn, Python, Keras, NLP, PyTorch",5,Bachelor's,Google Data Engineer,Lorettaton
Kenneth Harvey,Data Scientist,"Pandas, TensorFlow, R",4,Master's,AWS Certified,Lake Veronica
Joshua Miller,ML Engineer,"Python, PyTorch, TensorFlow, Keras, Scikit-learn",5,Bachelor's,AWS Certified,South Amyton
Judith Hopkins,AI Engineer,"Machine Learning, TensorFlow, AI Systems, Python, NLP",7,PhD,Google Data Engineer,Port Kathleenview
Jessica Newman,Data Analyst,"Excel, Tableau, Power BI",5,PhD,Microsoft Azure,North Julia
Dennis Flores,Data Analyst,"Excel, SQL, Power BI",1,Bachelor's,AWS Certified,Martinezburgh
Katherine Webb,Data Scientist,"Pandas, TensorFlow, R, Deep Learning, Python",2,Master's,Microsoft Azure,New Timothy
Susan Lloyd,ML Engineer,"TensorFlow, Scikit-learn, PyTorch, Keras",2,Bachelor's,Google Data Engineer,South Margaret
Dr. Joseph Alvarado,Data Scientist,"Pandas, Machine Learning, R, Python, Deep Learning",3,Master's,AWS Certified,Brownstad
Mark Lam DDS,Data Engineer,"ETL, SQL, Spark, AWS, Python, Hadoop",6,Bachelor's,AWS Certified,North Samanthashire
Christopher Bradley,ML Engineer,"Keras, Scikit-learn, TensorFlow",10,PhD,AWS Certified,Ericport
Dean Wallace,ML Engineer,"NLP, Keras, TensorFlow",10,Bachelor's,AWS Certified,Emilyfurt
Mary Johnson,Data Engineer,"Hadoop, Kafka, AWS, ETL",12,Master's,None,New Sarah
Aaron Griffith,Data Scientist,"Deep Learning, Python, R, TensorFlow",10,Bachelor's,AWS Certified,Lake John
Heather Wang,AI Engineer,"NLP, Deep Learning, Machine Learning, AI Systems, TensorFlow",1,Bachelor's,Google Data Engineer,Lopezchester
Jill Jimenez,Data Engineer,"AWS, Python, ETL, Spark, Kafka, Hadoop",5,Master's,AWS Certified,North Marcus
Sandra Mcdonald,Data Engineer,"Spark, Hadoop, Kafka, SQL, AWS, Python",10,Bachelor's,Google Data Engineer,Brittanymouth
Jody Logan,Data Analyst,"Excel, Tableau, Power BI",13,Master's,AWS Certified,East Rodneyborough
Mr. Jason Garcia,Data Analyst,"Python, Tableau, SQL, Data Visualization, Excel, Power BI",12,PhD,Microsoft Azure,Lake Jessicaville
Jennifer Sanchez,AI Engineer,"TensorFlow, Machine Learning, Python",13,Bachelor's,AWS Certified,Johnsonberg
Melinda Smith,Data Analyst,"SQL, Excel, Data Visualization, Tableau, Python, Power BI",4,PhD,None,New Nancy
Michelle Bishop,Data Analyst,"Excel, Python, Power BI",1,Bachelor's,Google Data Engineer,Deniseland
Sarah Morris,Data Analyst,"Excel, SQL, Tableau",9,Bachelor's,Microsoft Azure,East Judith
Jennifer Lopez,Data Scientist,"Deep Learning, Pandas, TensorFlow, Machine Learning, Python, R",5,Bachelor's,Microsoft Azure,Port Keithhaven
Jessica Smith,ML Engineer,"TensorFlow, Keras, NLP",4,Master's,Google Data Engineer,West Gwendolyn
Robert Calderon,AI Engineer,"Python, AI Systems, Deep Learning, Machine Learning, NLP, TensorFlow",13,Bachelor's,AWS Certified,Taylorborough
Daniel King,ML Engineer,"Python, TensorFlow, NLP",6,PhD,None,New Nataliemouth
James King,Data Scientist,"R, Deep Learning, Pandas, Python, TensorFlow",13,PhD,Microsoft Azure,New Kimberly
Jody Martinez,AI Engineer,"Python, NLP, TensorFlow",8,PhD,None,Lake Howardfurt
David Greer,Data Engineer,"Spark, Python, Kafka, ETL",3,PhD,None,Amandaport
Susan Patton,AI Engineer,"Deep Learning, TensorFlow, Python, Machine Learning",10,Master's,Google Data Engineer,East Audreymouth
Patricia Ross,Data Scientist,"R, Machine Learning, TensorFlow, Python, Pandas",15,Master's,Google Data Engineer,East Brandon
Michael Brooks,Data Analyst,"Excel, Tableau, SQL, Data Visualization, Power BI, Python",4,Bachelor's,Microsoft Azure,East Randy
Carrie Boyer,Data Scientist,"Deep Learning, R, Python, Pandas",7,PhD,Microsoft Azure,Davisside
Catherine Maldonado,Data Analyst,"SQL, Power BI, Data Visualization, Excel, Python, Tableau",1,PhD,Google Data Engineer,West Deborahtown
Edward Daniels,AI Engineer,"TensorFlow, AI Systems, Machine Learning, Deep Learning, Python",11,PhD,Google Data Engineer,Larsenburgh
Ashley Escobar,Data Engineer,"AWS, SQL, Python",11,PhD,None,North Dianaville
Justin Dean,Data Analyst,"Power BI, Excel, Python, SQL, Data Visualization, Tableau",14,PhD,AWS Certified,Soniafort
Michael Carr,Data Engineer,"SQL, ETL, Hadoop, Python, Spark",9,PhD,AWS Certified,Jenniferchester
Tina Miles,Data Analyst,"Excel, Tableau, Power BI",10,Master's,Google Data Engineer,Susanstad
Jacqueline Spencer DVM,ML Engineer,"Scikit-learn, Keras, Python, NLP, PyTorch, TensorFlow",8,Master's,Microsoft Azure,Lake Stephanieborough
Melanie Garcia,ML Engineer,"TensorFlow, Scikit-learn, PyTorch, NLP, Python",5,Master's,Google Data Engineer,Parrishtown
Marc Brock,Data Engineer,"SQL, Hadoop, Spark, Python, AWS, ETL",10,Bachelor's,Google Data Engineer,Brownfort
James Jones,AI Engineer,"NLP, TensorFlow, Deep Learning, AI Systems",6,Bachelor's,None,Clarencestad
James Leonard,Data Engineer,"Python, AWS, Kafka, SQL, Spark",3,Master's,Google Data Engineer,New Johnborough
Kendra Santos,Data Analyst,"SQL, Tableau, Python",8,Master's,Google Data Engineer,Cynthiachester
Christopher Walker,ML Engineer,"Scikit-learn, PyTorch, Python, NLP, Keras",10,Bachelor's,Google Data Engineer,South Jonathan
Theresa Douglas,Data Analyst,"Tableau, Excel, SQL, Python, Power BI, Data Visualization",15,PhD,Google Data Engineer,Lake Johnfurt
Lisa Lin,Data Scientist,"Python, Deep Learning, Pandas",1,Bachelor's,AWS Certified,North Ashley
Anne Ramirez,ML Engineer,"Scikit-learn, Keras, Python, TensorFlow, NLP, PyTorch",14,Master's,Microsoft Azure,Jamesmouth
Amanda Alvarez,Data Analyst,"Python, Data Visualization, SQL",14,Bachelor's,AWS Certified,Lopezville
Jamie Wade,AI Engineer,"Python, AI Systems, Deep Learning, Machine Learning, TensorFlow",11,Bachelor's,AWS Certified,East Saratown
Theresa Allison,Data Scientist,"R, Deep Learning, Machine Learning",8,Bachelor's,AWS Certified,South Timothymouth
Jared Diaz,Data Engineer,"SQL, Python, AWS, Spark, ETL, Kafka",9,Bachelor's,Microsoft Azure,Richardburgh
Justin Campbell,Data Engineer,"Hadoop, Kafka, ETL, Spark",7,PhD,AWS Certified,North Jasontown
Angela Benton,Data Analyst,"Excel, SQL, Python, Tableau, Power BI",8,Bachelor's,Microsoft Azure,Jacobchester
David Barron,Data Engineer,"Kafka, Python, SQL, ETL, Spark",8,Master's,AWS Certified,Heathertown
Christopher Thompson,ML Engineer,"Python, Keras, TensorFlow",9,PhD,AWS Certified,Timothystad
Cindy Washington,Data Analyst,"Data Visualization, SQL, Tableau, Power BI",13,Master's,AWS Certified,North Jason
Robert Wilson,Data Scientist,"Deep Learning, Python, Pandas, TensorFlow, Machine Learning, R",6,PhD,Google Data Engineer,South Robertside
Michelle Keller,Data Scientist,"TensorFlow, Machine Learning, Deep Learning, R, Pandas",6,PhD,AWS Certified,New Dustin
Cheryl Pineda,AI Engineer,"Python, Machine Learning, AI Systems, TensorFlow, Deep Learning, NLP",5,PhD,None,New Jennifer
Emily Patterson,Data Engineer,"AWS, Python, ETL, Spark, Hadoop",2,Bachelor's,Google Data Engineer,Ramirezview
Patricia Taylor,ML Engineer,"Keras, Scikit-learn, Python, TensorFlow",4,Bachelor's,AWS Certified,New Bradley
Bianca Ball,Data Engineer,"Hadoop, AWS, Kafka, SQL",14,Bachelor's,None,Port Charleschester
Mike Mcfarland,Data Engineer,"ETL, SQL, AWS, Kafka, Python, Hadoop",11,Master's,AWS Certified,Mooreborough
Mark Kim,Data Engineer,"Hadoop, Python, AWS",12,Master's,AWS Certified,Port Crystalville
Bruce Curry,AI Engineer,"Python, AI Systems, NLP, Deep Learning, Machine Learning, TensorFlow",7,Master's,None,West Lisaview
Gina Spencer,Data Engineer,"Hadoop, Python, Kafka, SQL, AWS, ETL",9,Master's,AWS Certified,Gonzalezstad
Tracey Foster,Data Engineer,"AWS, SQL, Spark",11,Bachelor's,Microsoft Azure,Port Michaelburgh
Dr. Christopher Clark MD,Data Engineer,"ETL, Hadoop, Kafka",6,Bachelor's,Microsoft Azure,Port Michelleberg
John Middleton,AI Engineer,"AI Systems, Python, Machine Learning",3,Master's,AWS Certified,Berryton
Cassidy Reed,Data Engineer,"Hadoop, AWS, ETL, SQL",5,Bachelor's,None,New Brittneyberg
Terri Booth,Data Engineer,"Hadoop, Spark, SQL, Kafka",7,Master's,AWS Certified,New Carol
Amy Cameron,AI Engineer,"Machine Learning, AI Systems, NLP, TensorFlow",7,PhD,Google Data Engineer,North Stephenchester
Dawn Olson,Data Analyst,"Data Visualization, Python, Tableau, Power BI, SQL, Excel",14,Bachelor's,None,Whitemouth
Rachel Gonzalez,Data Scientist,"R, TensorFlow, Pandas",15,PhD,AWS Certified,New David
Robert Suarez,Data Engineer,"SQL, Spark, Python",9,Master's,Google Data Engineer,Lake Paulland
Bethany Miller,Data Engineer,"Kafka, ETL, SQL, Hadoop",6,Bachelor's,Google Data Engineer,Eugeneport
Natalie Barr,Data Scientist,"Python, Deep Learning, TensorFlow, R",3,PhD,AWS Certified,New Matthew
Diana Webb,Data Analyst,"Tableau, Power BI, Python, SQL",14,PhD,Microsoft Azure,Jonesbury
Angela Johnson,Data Engineer,"Hadoop, Python, ETL, AWS, Spark, Kafka",1,PhD,None,New Oliviaton
Aaron Aguirre,ML Engineer,"NLP, Python, PyTorch, Keras, TensorFlow, Scikit-learn",15,Master's,AWS Certified,Port William
Megan Rodgers,Data Analyst,"Power BI, Excel, Data Visualization, Python, Tableau, SQL",5,Bachelor's,None,South James
Brenda Luna,Data Analyst,"Power BI, Tableau, Python, Data Visualization",4,PhD,Microsoft Azure,Alisonland
Ariana Powell,Data Scientist,"TensorFlow, Pandas, Machine Learning",11,Master's,AWS Certified,Josephville
Lauren Young,Data Engineer,"Spark, Hadoop, SQL, Kafka",10,PhD,None,Georgeville
David Obrien,Data Engineer,"Hadoop, AWS, ETL, Spark, SQL, Python",5,Bachelor's,AWS Certified,Bowersland
James Torres,Data Analyst,"Power BI, Excel, Tableau, Python, SQL, Data Visualization",4,Master's,Microsoft Azure,Brittanyton
John Hendrix,Data Engineer,"Kafka, SQL, Python",7,Bachelor's,Microsoft Azure,Samanthafurt
John Mcgee,Data Engineer,"AWS, Python, Spark, Kafka",11,Master's,Microsoft Azure,Kennethtown
Samantha Robinson,Data Engineer,"Python, ETL, Kafka, SQL",1,Master's,Google Data Engineer,Port Paul
Michael Campos,Data Analyst,"Data Visualization, Tableau, SQL",2,Bachelor's,Microsoft Azure,South Elizabeth
Joseph Mcdonald,AI Engineer,"AI Systems, NLP, Deep Learning, Machine Learning, Python, TensorFlow",14,Master's,None,New Adammouth
Travis Preston,ML Engineer,"PyTorch, Python, Keras",6,Master's,Google Data Engineer,South Jason
Elizabeth Hall,Data Scientist,"TensorFlow, Python, Machine Learning, Pandas",8,PhD,AWS Certified,Romanmouth
Julia Carrillo,AI Engineer,"Python, Deep Learning, NLP",15,PhD,AWS Certified,Martinstad
